,Estado,Fecha,Camas,CamasCovid
39978,Colorado,2022-07-28,8098.0,345.0
44282,Georgia,2022-07-28,18501.0,1968.0
45018,Illinois,2022-07-28,22163.0,1508.0
37660,Kentucky,2022-07-28,9591.0,803.0
38227,Iowa,2022-07-28,4948.0,250.0
39566,Nuevo Hampshire,2022-07-27,2351.0,73.0
36315,Delaware,2022-07-27,2672.0,242.0
41648,Kansas,2022-07-27,5235.0,275.0
43806,Wyoming,2022-07-27,829.0,34.0
323,Islas Virgenes,2022-07-27,107.0,7.0
44715,Georgia,2022-07-27,17458.0,1845.0
46494,Misuri,2022-07-27,14133.0,1118.0
36971,Virginia,2022-07-27,13059.0,897.0
39506,Massachusetts,2022-07-27,15960.0,642.0
41647,Tennessee,2022-07-27,14913.0,958.0
42157,Nueva Jersey,2022-07-27,17640.0,1151.0
42233,Texas,2022-07-27,50499.0,3970.0
35315,Nevada,2022-07-27,6665.0,454.0
42309,Dakota del Sur,2022-07-27,1547.0,83.0
44183,Colorado,2022-07-27,8084.0,362.0
44032,Alabama,2022-07-27,11571.0,903.0
42656,Arizona,2022-07-27,12454.0,783.0
34107,California,2022-07-27,50618.0,5204.0
34325,Arkansas,2022-07-27,6578.0,508.0
45419,Idaho,2022-07-27,2310.0,190.0
40748,Connecticut,2022-07-27,6287.0,381.0
46029,carolina del Sur,2022-07-27,8996.0,614.0
37122,Virginia Occidental,2022-07-27,4766.0,393.0
44727,Washington,2022-07-27,10467.0,872.0
38993,Indiana,2022-07-27,12815.0,792.0
35969,Illinois,2022-07-27,22111.0,1537.0
42932,Ohio,2022-07-27,23041.0,1465.0
38795,Samoa Estadounidense,2022-07-27,79.0,6.0
44128,Maryland,2022-07-27,9796.0,825.0
33979,Minnesota,2022-07-27,8039.0,502.0
44627,Kentucky,2022-07-27,9814.0,758.0
34151,Luisiana,2022-07-27,9102.0,583.0
38883,Montana,2022-07-27,2024.0,103.0
43143,Misisipi,2022-07-27,5766.0,469.0
33983,Oklahoma,2022-07-27,7551.0,463.0
